pop,lon,lat,date,year,month,day,tasmin_mean,tasmax_mean,pr_mean
pop1,-66.351746,46.01555,2090-02-28,2090,2,28,266.5,274.47397,7.83192e-05
pop1,-66.351746,46.01555,2090-03-01,2090,3,1,268.07812,276.6354,3.586788e-05
pop1,-66.351746,46.01555,2090-03-02,2090,3,2,268.20834,275.5,8.237816e-05
pop1,-66.351746,46.01555,2090-03-03,2090,3,3,267.59375,275.34897,3.5282723e-05
pop1,-66.351746,46.01555,2090-03-04,2090,3,4,268.7396,276.95312,7.731593e-05
pop1,-66.351746,46.01555,2090-03-05,2090,3,5,269.51822,276.39062,9.18877e-05
pop1,-66.351746,46.01555,2090-03-06,2090,3,6,266.60156,276.15625,4.3097378e-05
pop1,-66.351746,46.01555,2090-03-07,2090,3,7,266.69272,275.77084,3.212931e-05
pop1,-66.351746,46.01555,2090-03-08,2090,3,8,267.35416,276.85938,4.679806e-05
pop1,-66.351746,46.01555,2090-03-09,2090,3,9,268.15103,276.8854,8.072063e-05
pop1,-66.351746,46.01555,2090-03-10,2090,3,10,267.9896,276.1875,5.2828207e-05
pop1,-66.351746,46.01555,2090-03-11,2090,3,11,267.52866,275.80728,7.362851e-05
pop1,-66.351746,46.01555,2090-03-12,2090,3,12,267.60156,276.29166,7.580582e-05
pop1,-66.351746,46.01555,2090-03-13,2090,3,13,267.68228,276.18228,2.8925933e-05
pop1,-66.351746,46.01555,2090-03-14,2090,3,14,268.79166,275.25522,3.1802298e-05
pop1,-66.351746,46.01555,2090-03-15,2090,3,15,269.6979,276.03125,1.7432882e-05
pop1,-66.351746,46.01555,2090-03-16,2090,3,16,267.8021,275.9479,7.663463e-06
pop1,-66.351746,46.01555,2090-03-17,2090,3,17,267.59897,276.375,3.7504895e-05
pop1,-66.351746,46.01555,2090-03-18,2090,3,18,268.1875,276.85416,2.5712865e-05
pop1,-66.351746,46.01555,2090-03-19,2090,3,19,269.20312,278.28125,2.197037e-05
pop1,-66.351746,46.01555,2090-03-20,2090,3,20,271.08853,278.96353,4.754523e-05
pop1,-66.351746,46.01555,2090-03-21,2090,3,21,269.34897,278.48438,4.7974852e-05
pop1,-66.351746,46.01555,2090-03-22,2090,3,22,269.49478,277.48438,3.3824752e-05
pop1,-66.351746,46.01555,2090-03-23,2090,3,23,268.86978,276.9896,4.8712507e-05
pop1,-66.351746,46.01555,2090-03-24,2090,3,24,269.95312,278.23438,4.6500678e-05
pop1,-66.351746,46.01555,2090-03-25,2090,3,25,268.43228,279.43228,5.503434e-05
pop1,-66.351746,46.01555,2090-03-26,2090,3,26,268.48438,279.625,3.080496e-05
pop1,-66.351746,46.01555,2090-03-27,2090,3,27,271.72916,280.71875,8.019628e-05
pop1,-66.351746,46.01555,2090-03-28,2090,3,28,270.80728,281.4479,6.3631232e-06
pop1,-66.351746,46.01555,2090-03-29,2090,3,29,270.24478,280.5104,1.1883482e-05
pop1,-66.351746,46.01555,2090-03-30,2090,3,30,270.5625,281.1875,2.2007369e-05
pop1,-66.351746,46.01555,2090-03-31,2090,3,31,272.86932,281.68182,0.00011273867
pop1,-66.351746,46.01555,2090-04-01,2090,4,1,272.52084,281.97397,7.0429734e-05
pop1,-66.351746,46.01555,2090-04-02,2090,4,2,271.6875,280.6979,1.428222e-05
pop1,-66.351746,46.01555,2090-04-03,2090,4,3,270.29166,281.0521,6.8391314e-06
pop1,-66.351746,46.01555,2090-04-04,2090,4,4,272.50522,281.79688,3.555336e-05
pop1,-66.351746,46.01555,2090-04-05,2090,4,5,272.35938,282.76562,1.843344e-05
pop1,-66.351746,46.01555,2090-04-06,2090,4,6,272.59375,281.55728,5.8968424e-05
pop1,-66.351746,46.01555,2090-04-07,2090,4,7,273.4375,281.8229,3.237223e-05
pop1,-66.351746,46.01555,2090-04-08,2090,4,8,274.43228,282.56772,4.562866e-05
pop1,-66.351746,46.01555,2090-04-09,2090,4,9,274.43228,284.83853,7.728538e-05
pop1,-66.351746,46.01555,2090-04-10,2090,4,10,274.3021,284.13022,3.7310423e-05
pop1,-66.351746,46.01555,2090-04-11,2090,4,11,273.70312,284.69272,3.114628e-05
pop1,-66.351746,46.01555,2090-04-12,2090,4,12,273.70834,284.73438,3.66555e-05
pop1,-66.351746,46.01555,2090-04-13,2090,4,13,275.40103,285.1146,3.0055926e-05
pop1,-66.351746,46.01555,2090-04-14,2090,4,14,275.26562,283.79688,5.2343978e-05
pop1,-66.351746,46.01555,2090-04-15,2090,4,15,274.34897,283.8229,7.692692e-05
pop1,-66.351746,46.01555,2090-04-16,2090,4,16,274.54688,283.65625,4.140456e-05
pop1,-66.351746,46.01555,2090-04-17,2090,4,17,273.99478,283.33334,1.0673997e-05
pop1,-66.351746,46.01555,2090-04-18,2090,4,18,273.45834,282.93228,4.6467805e-05
pop1,-66.351746,46.01555,2090-04-19,2090,4,19,274.74478,283.8646,8.517562e-05
pop1,-66.351746,46.01555,2090-04-20,2090,4,20,275.46353,286.27603,3.273887e-05
pop1,-66.351746,46.01555,2090-04-21,2090,4,21,275.17188,286.1875,5.9322756e-05
pop1,-66.351746,46.01555,2090-04-22,2090,4,22,273.8646,285.31772,3.1716016e-05
pop1,-66.351746,46.01555,2090-04-23,2090,4,23,274.9479,286.34897,1.42675735e-05
pop1,-66.351746,46.01555,2090-04-24,2090,4,24,276.02084,287.33853,5.4435164e-05
pop1,-66.351746,46.01555,2090-04-25,2090,4,25,276.84897,286.90625,5.1528317e-05
